vVLDBJ. aDovDori vInf.Syst. aLidaXu vInf.Syst. aPrabuddhaDe vER aSalvatoreT.March vIEEEDatabaseEng.Bull. aDonS.Batory vIEEEDatabaseEng.Bull. aDavidK.Hsiao vPARBASE aSubbiahRajanarayanan vPARBASE aArdieSchijf vPARBASE/Databases aWenyuLu vIEEETrans.Knowl.DataEng. aMartinErwig vIEEETrans.Knowl.DataEng.
vVLDBJ. aRalfHartmutGüting vICDE aAnnaHac vICDE aKennethC.Sevcik vVLDB aAmyPogue vVLDB aNickKoudas vICDE aNeilM.Goldman vPOS aAlanDearle vPOS aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI
vVLDBJ. aBarbaraPernici vCAiSE aJanisFolkmanis vCAiSE aRogérioCarapuça vDS-2 aJohnAlanRobinson vDS-2 aRonaldK.Stamper vDS-2 aAviramMatzov vDS-2 aFrankBrandse vDS-2 aLaurenceCholvy vICDT aDirkVanGucht vInf.Syst. aE.Vandijck vInf.Syst.
vVLDBJ. aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI
vVLDBJ. aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI
vVLDBJ. aÖzgürUlusoy vReal-TimeDatabaseSystems aJayantR.Haritsa vSIGMODConference aWilliamC.McGee vDataBasesforInteractiveDesign aAnnEllisBandurski vIEEEDatabaseEng.Bull. aArnieRosenthal vISI aMohanM.Trivedi vISI aRohanKumarGunaratna vISI aMarcH.Evans vISI aAlanJ.Demers vISI aYufengChen vACMTrans.AsianLang.Inf.Process.
vVLDBJ. aRimantasBenetis vIDEAS aMarioCannataro vIDEAS aJorgeBernardino vDaWaK aMatteoGolfarelli vSEBD aDanielaBerardi vVLDB aThomasJ.Gambino vVLDB aKjetilNørvåg vDEXA aRogerZimmermann vDEXA aJörgLindner vDEXA aToniUrpí vDataKnowl.Eng.
vVLDBJ. aEvanP.Harris vAustralasianDatabaseConference aJustinZobel vJASIS aMaryEllenC.Sievert vJASIS aTaeminKimPark vJASIS aPaulB.Kantor vTREC aJulieA.McCann vWeb,Web-Services,andDatabaseSystems aFrançoisBry vDistributedandParallelDatabases aYonDohnChung vDistributedandParallelDatabases aMing-SyanChen vSDM aHiroshiKuwajima vSDM
vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aHarithAlani vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aDanielOlmedilla vEDBT aLucaDeRosa vEDBT aEmanuelTaropa vEDBT aGustavoAlonso vDistributedandParallelDatabases aHangKwongMak vDASFAA aMafruzZamanAshrafi vIJBIDM aTuBaoHo vKDD aAlexanderSchnabl vKDD aAlejandroMurua vKDD
vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aNigelShadbolt vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aVictorS.Grishchenko vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aDanielOlmedilla vSecureDataManagement aEdwardSciore vACMTrans.Inf.Syst. aJohnJ.Leggett vHypermedia aJohnJ.Leggett vACMTrans.Inf.Syst. aClaudioCarpineto vTREC aMasumiNarita vSIGIR aTaoQin vSIGIR aMichaelR.Lyu vWWW
vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aJeremyJ.Carroll vWWW aJingwenJin vWWW aFilippoMenczer vECDL aSylvieMony vECDL aRenéePohlmann vCLEF aJulioVillena vCLEF aThomasMandl vCLEF aPetervanderWeerd vCLEF aRayR.Larson vTREC aToddWard vTREC
vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aWolfgangNejdl vDBISP2P aWaiGenYee vSIGIRForum aShlomoGeva vPAKDD aAlexeyPryakhin vSSDBM aPeerKröger vDMKD aKateA.Smith vIJBIDM aOmarBoussaid vADBIS aPeterKutschera vADBIS aYong-IkYoon vADBIS aKjellOrsborn vADBIS
vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aDanielOlmedilla vSecureDataManagement aGopakumarNair vSecureDataManagement aSushilJajodia vDBSec aBruceI.Blum vComputerizedAssistanceDuringtheInformationSystemsLifeCycle aIanG.MacDonald vMethodsandAssociatedToolsfortheInformationSystemsLifeCycle aIanG.MacDonald vComputerizedAssistanceDuringtheInformationSystemsLifeCycle aBruceI.Blum vJournalofSystemsIntegration aY.T.Chen vJournalofSystemsIntegration aK.W.Dormuth vJournalofSystemsIntegration aKitaeShin vJournalofSystemsIntegration
vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aYannisKalfoglou vJ.DataSemantics aSushilJajodia vDBSec aShankarPal vVLDB aAdamBosworth vWWW aAhChungTsoi vWWW aCharlesLewis vWWW aAshwinMachanavajjhala vPODS aMosheY.Vardi vICDE aShuangHou vDEBS aOpherEtzion vVLDBJ.
vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aJeffHeflin vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aTingYu vPAKDD aShou-JianYu vWAIM aHuiWang vVLDB aCharuC.Aggarwal vIEEETrans.Knowl.DataEng. aDimitrisPapadias vIEEETrans.Knowl.DataEng. aSudhaRam vJ.DatabaseManag. aMitchellL.Bostelman vJ.DatabaseManag. aDavidKang vJ.DatabaseManag. aJamesE.Wyse vJ.DatabaseManag.
vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aVictorS.Grishchenko vISWCWorkshoponTrust,Security,andReputationontheSemanticWeb aTingYu vICDE aK.V.M.Naidu vICDE aSongyunDuan vICDEWorkshops aMatthewSkala vICDEWorkshops aFlorenceSedes vIEEETrans.Knowl.DataEng. aDimitrisPapadias vVLDB aToshiyukiNakamura vVLDB aRubaoLee vVLDB aDavidBeech vDS-4
vIWRIDL aKarenSpärckJones vSIGIR aPaulOh vSIGIR aDavidR.Hanssen vSIGIR aG.CraigMurray vSIGIR aLotfiA.Zadeh vSIGIR aJamesR.Driscoll vInf.Process.Manage. aCzeslawDanilowicz vDistributedandParallelDatabases aTonyT.Lee vICDE aRaymondTo vICDE aFarokhB.Bastani vIEEETrans.Knowl.DataEng.
vIWRIDL aMichelBeigbeder vCLEF aIsabelleMoulinier vCLEF aCarolPeters vECDL aFabioCrestani vESSIR aAlanF.Smeaton vInf.Retr. aPadminiSrinivasan vTREC aRoseOughtred vTREC aIsaoNamba vTREC aHsin-HsiChen vCLEF aM.MacFarlane vCLEF
vIWRIDL aDonaldH.Kraft vInf.Process.Manage. aFredDamerau vACMTrans.Inf.Syst. aDavidD.Lewis vTREC aDavidFisher vTREC aArielS.Schwartz vTREC aP.Scheibe vTREC aSeyedM.M.Tahaghoghi vInf.Process.Manage. aJamesHeitzman vInf.Process.Manage. aRobertM.Losee vSIGIR aConnieWu vSIGIR
vIWRIDL aGeorgeNagy vWISE aFranciscoJoséGarcíaPeñalvo vDaWaK aBrunoCrémilleux vPAKDD aMaciejZakrzewicz vADBIS(LocalProceedings) aBorisRachev vADBIS(LocalProceedings) aBorisRachev vADBIS(LocalProceedings) aNilsGesbert vADBIS(LocalProceedings) aMariuszTrzaska vDatabasesandApplications aLeiWang vRevisedPapersfromMDM/KDDandPAKDD/KDMCD aAlexanderG.Hauptmann vJCDL
vIWRIDL aPrateekSarkar vIWRIDL aGérardP.Huet vIWRIDL aCarolPeters vECDL aKirstenR.Butcher vECDL aMagdyNagi vECDL aJarmoLaaksolahti vECDL aMorganN.Price vACMDL aIanH.Witten vPAKDD aSatyanarayanaRajuPenmetsa vPAKDD aFang-zhongSu vPAKDD
vIWRIDL aMichelBeigbeder vCORIA aPierre-YvesBerger vCORIA aChantalSoulé-Dupuy vCORIA aJean-PierreChevallet vCORIA aKarenSauvagnat vTREC aRobertO'Callaghan vAIRS aPatrickGallinari vBCS-IRSGAnnualColloquiumonIRResearch aNorikoKando vACMTrans.AsianLang.Inf.Process. aTranQuocTri vACMTrans.AsianLang.Inf.Process. aJamesAllan vSIGIR
vIWRIDL aWaiGenYee vCIKM aPhilipS.Yu vKDD aDavidW.Pfitzner vDMKD aBartDemoen vDMKD aYangXiang vKDD aEdmondMesrobian vDMKD aEamonnJ.Keogh vSDM aSiau-ChengKhoo vSDM aEffrosiniKokiopoulou vSDM aEamonnJ.Keogh vICDM
vIWRIDL aDonaldH.Kraft vJASIS aBirgerHjørland vJASIST aStevenM.Beitzel vTREC aStephenE.Robertson vTREC aLokmanI.Meho vJASIST aPaulWouters vJASIST aQuentinL.Burrell vInf.Process.Manage. aLiangThow-Yick vInf.Process.Manage. aLyndaTamine vECIR aPatrickGallinari vACMTrans.Inf.Syst.
vSWDB aAkiyoshiMatono vADC aXiuzhenZhang vPAKDD aPeerKröger vPAKDD aAnttiPesonen vDaWaK aTranQuocDung vDaWaK aDanielBarbará vICDE aMuraliMani vVLDB aSimoneSantini vICDE aC.Mohan vBDA aAndréLeGrand vMethodsandAssociatedToolsfortheInformationSystemsLifeCycle
vSWDB aSougataMukherjea vCIKM aYatinP.Saraiya vICDE aThomasSeidl vSSDBM aSidneyC.Bailin vInf.Retr. aQuanzhiLi vCIKM aYuXu vICDE aRamyEltarras vICDE aJiaweiHan vKnowl.Inf.Syst. aKotagiriRamamohanarao vPKDD aKavéSalamatian vPKDD
vSWDB aJean-DavidRuvini vSWDB aDoinaCaragea vDEXAWorkshops aRobertaLima-Gomes vDEXAWorkshops aEduardoB.Fernández vIEEEDataEng.Bull. aBernhardZeller vICDE aTrevorH.Jones vOOER aMartinGogolla vER aRichardF.Gilberg vER aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI
vSWDB aHamidR.MotahariNezhad vICDE aRichardL.Shuey vICDE aJamesW.Hong vCASCON aStevenS.Popovich vInt.J.CooperativeInf.Syst. aPanosConstantopoulos vWISE aW.S.Cho vWISE aNorbertRitter vWISE aJ.Kang vWISE aHamidehAfsarmanesh vDEXA aMirellaMouraMoro vSIGMODConference
vSWDB aStevenVanVooren vSWDB aRichWilliams vSWDB aVasantHonavar vWIDM aEe-PengLim vJ.DatabaseManag. aSuzanneW.Dietrich vJ.Intell.Inf.Syst. aGregoryF.Cooper vDMKD aIanTianYiLi vDMKD aChrisMellish vPKDD aTakashiOkada vPAKDD aPaulineLienhuaChou vDaWaK
vSWDB aRobertMeersman vOTMConferences(1) aAtaÖnal vOTMConferences(1) aDanVodislav vIDEAS aNickKoudas vSSDBM aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI
vSWDB aAngelJanevski vSWDB aCarlosA.Hurtado vICDT aLucaCabibbo vSEBD aLucaDeSantis vDASFAA aCarloWouters vDEXA aD.Laurent vDEXA aJanVanthienen vPAKDD aJingZhang vWWW aKingsleyIdehen vWWW aHarryHalpin vWWW
vSWDB aMarcoNeumann vDEXAWorkshops aMarcSchanne vDEXAWorkshops aAbdulWaseyMatin vDEXAWorkshops aInesBouzouita vDEXAWorkshops aJean-MarcPierson vDEXAWorkshops aSvenMeyerzuEissen vECIR aRobertoBasili vECIR aHenrikNottelmann vInf.Process.Manage. aCharlesL.Viles vInf.Process.Manage. aBruceJ.MacLennan vInf.Process.Manage.
vSWSWPC aKatiaP.Sycara vVLDB aShaoyuZhou vVLDB aKonstantinLuttenberger vVLDB aK.P.Tan vFODO aDavidW.Embley vDataKnowl.Eng. aRoelWieringa vDataKnowl.Eng. aAntonioBadia vIEEETrans.Knowl.DataEng. aNingAn vICDE aRakeshAgrawal vKDD aJianYang vAPWeb
vSWSWPC aAmitP.Sheth vJ.Intell.Inf.Syst. aHye-YoungPaik vWISEWorkshops aDominikKuropka vWISEWorkshops aKrassiePetrova vWISEWorkshops aWoochunJun vWISEWorkshops aMingluLi vAPWeb aChengqiZhang vDaWaK aThomasSeidl vVLDB aP.Cotton vVLDB aAngelaBonifati vBDA
vSWSWPC aTerryR.Payne vJCDL aMarkA.Rosso vJCDL aCameronBuckner vJCDL aTamaraSumner vJCDL aEnriqueMallen vJCDL aJ.R.Deller vJCDL aRodrigoArias vJCDL aSonalBhushman vJCDL aJesseD.Martinez vJCDL aJaneHunter vECDL
vSWSWPC aJinghaiRao vWES aMarkHansen vCIKM aMin-YenKan vICADL aSoo-HyungKim vICADL aWaiLam vACMTrans.InternetTechn. aPaulDantzig vECDL aCarlosMonroy vJCDL aUrvashiGadi vJCDL aNanZhou vJCDL aJonathanCrabtree vJCDL
vSWSWPC aMunindarP.Singh vICDE aYueZhuge vICDE aJin-HaKim vWWW aNirajTolia vWWW aWendyHall vHypertext aNileMosley vHypertext aRasmusRosenqyistPetersen vHypertext aP.DavidStotts vHypertext aHermanniHyytiälä vHypertext aSaturninoLuz vHypertext
vSWSWPC aAmitP.Sheth vSIGMODRecord aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI aKarenC.Davis vJ.DataSemanticsVI
